delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff
1372644,76298,112830,bicycle,Molly's Cupcakes,Dessert,Red Velvet,1,Classic Flavors,,40.73024511,-74.00222524,40.72619,-74.0053337,35:23.3,47:20.4,58:41.2,14:59.6
1480674,68965,65763,bicycle,RedFarm Hudson,Chinese,Bentons Bacon & Egg Fried Rice,1,Rice & Noodles,08:25.4,40.73421385,-74.00620203,40.744964,-73.985617,44:53.1,59:14.2,07:04.2,24:47.1
1304405,50320,41408,car,Sushi of Gari 46,Sushi,Red Snapper Salad Sushi,1,Sushi,27:00.4,40.76065444,-73.98958275,40.730169,-73.993049,43:05.0,13:28.5,41:30.9,01:58.7
1480179,63047,93783,bicycle,Serafina Always,Italian,,,,06:16.4,40.76459684,-73.9699775,40.7710998,-73.9642044,20:53.5,24:28.6,37:47.7,43:41.0
1458212,186473,114469,bicycle,Blue Ribbon Sushi,Japanese,House Salad,1,Salads,06:19.9,40.72610966,-74.00249186,40.7393847,-73.9924463,09:25.3,14:06.2,26:33.7,39:07.3
1409487,152675,99219,bicycle,Mighty Quinn's BBQ,BBQ,Seasonal Special,1,Sides,,40.72751895,-73.9886713,40.7378619,-73.99079895,08:37.8,,,37:46.6
1329482,316402,148770,bicycle,Better Being Underground,,,,,13:22.0,40.730156,-74.005019,40.7309732,-74.0058531,56:08.9,,,19:48.4
1460658,127122,41959,bicycle,RedFarm Broadway,Chinese,BBQ�۪d Beef Fried Rice,1,Rice & Noodles,04:59.1,40.7821167,-73.9807391,40.769944,-73.95835,24:26.6,37:18.9,50:08.7,08:48.5
1349481,49631,139444,bicycle,The Meatball Shop,Italian,Spicy Pork Ball Kitchen Sink Salad,1,The Kitchen Sink Salad,05:17.8,40.77149125,-73.95633415,40.763591,-73.964246,37:12.6,54:40.2,04:00.4,12:12.7
1457186,289597,168796,bicycle,The Grey Dog - Mulberry,Coffee,Greek Salad,1,Salads,07:05.3,40.723096,-73.995774,40.7139538,-74.0096019,55:58.1,00:30.9,16:20.8,27:02.5
1368088,328623,133293,bicycle,Mighty Quinn's BBQ,BBQ,Half Chicken,4,Meats,,40.72751895,-73.9886713,40.7317509,-73.9928642,15:46.2,23:08.0,47:27.9,54:12.5
1307771,101042,104989,bicycle,Juice Generation,Juice Bar,Cold Warrior,1,Juice Farmacy,,40.7512908,-73.9765107,40.771439,-73.981022,00:57.8,23:06.5,44:57.2,20:25.5
1362278,261859,132725,bicycle,Postmates Liquor Store,Shop,Crosby Cabernet Sauvignon,1,Cabernet Sauvignon,,40.779598,-73.947388,40.78487992,-73.94805185,34:07.7,35:39.0,40:29.1,49:58.0
1448358,101957,23359,bicycle,Hiroko's Place,Japanese,Hamburg Rice,1,Hiroko's Specialties,05:53.7,40.72458741,-74.0027704,40.729427,-73.9887789,21:54.4,43:21.6,03:41.8,18:23.0
1460956,346265,108297,bicycle,Crif Dogs,,Chili Dog,2,Crif Dogs,04:24.7,40.72704085,-73.98383596,40.7086182,-74.015465,46:21.0,06:51.8,17:41.0,58:20.4
1357061,142773,20217,car,Hibino,Japanese,Miso Soup,1,Sides,05:30.4,40.69014791,-73.99631112,40.6912119,-73.9921824,49:09.0,,,35:52.5
1490119,61128,67899,car,Candle Cafe,Vegetarian,Steamed or Saut̩ed Broccoli&Cauliflower,1,Sides,37:39.8,40.771485,-73.95922147,40.756366,-73.967001,57:12.3,59:24.4,05:16.1,22:31.9
