,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed,courrier_timing
1089,1423447,391860,167596,bicycle,Lucky's Famous Burgers,Burger,Lucky Shake,1,Shakes,10:07.6,40.72333141,-73.9895311,40.7204716,-73.9893263,24:39.8,56:48.5,00:03:05,00:06:07,0.318048742,35:10.7
1093,1455921,53874,114469,bicycle,Sarabeth's,American,Kale & Eggs,1,Extraordinary Eggs & Omelettes,06:47.0,40.74257883,-73.98433728,40.736991,-73.980845,44:15.6,52:29.7,07:20.1,17:45.9,0.687065364,18:39.9
1104,1451679,87006,103194,bicycle,Nobu Next Door,Sushi,Bigeye Tuna,1,Dinner Sushi & Sashimi,21:41.4,40.71938641,-74.0086925,40.73066111,-74.0096272,46:45.8,54:25.5,37:15.6,48:41.9,1.254527397,19:06.0
1107,1314681,366975,123581,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Spicy Crab Roll,1,Maki (Special Rolls),06:42.7,40.76765291,-73.98292546,40.77143706,-73.98931683,02:50.5,24:17.3,37:43.3,46:58.5,0.683935582,30:42.0
1108,1450232,397362,67430,bicycle,TAO,Japanese,Vegetable Fried Brown Rice,1,Sophisticated Noodles and Rice,03:46.7,40.76285776,-73.971619,40.771893,-73.9596197,15:26.6,21:52.5,48:42.3,57:35.4,1.425870997,15:19.0
1117,1488153,145216,7833,bicycle,Grand Sichuan International,Chinese,Fried Rice,1,Noodles & Fried Rice,05:03.7,40.74738419,-74.00096687,40.7579922,-73.9922178,52:15.1,54:30.9,09:37.9,25:50.3,1.39054174,18:28.2
1122,1317965,142273,151440,bicycle,Pepe Rosso To Go,Italian,Spaghetti Pesto,1,Paste,07:47.4,40.727282,-74.001756,40.724455,-73.9908911,42:33.6,45:09.9,05:09.2,15:00.5,0.970098005,12:27.6
1132,1362490,135769,44356,bicycle,Blue Ribbon Sushi,Japanese,Spicy Crab Roll,1,Maki (Special Rolls),04:52.5,40.72610966,-74.00249186,40.738011,-74.0085526,04:55.5,29:09.8,37:25.8,48:05.2,1.417330897,34:53.7
1133,1431877,387227,84093,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Sashimi Deluxe,1,Platters,07:03.4,40.76765291,-73.98292546,40.7377602,-73.9978684,30:23.1,00:54:37,01:56.7,22:04.4,3.551324038,44:21.6
1140,1401534,232814,145502,car,Momoya,Sushi,Miso,1,Soup,07:58.5,40.78407726,-73.97762241,40.74823911,-73.98105894,00:44:12,56:47.2,25:32.4,49:15.6,3.990367664,36:18.4
1176,1375204,260035,104111,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,Sushi Bar Salad,1,Salads,03:54.1,40.76765291,-73.98292546,40.7693746,-73.9602924,09:54.9,22:58.5,00:32:51,55:55.4,1.920424366,36:08.0
1187,1309357,197633,28765,bicycle,Sushi of Gari 46,Sushi,Sushi Special Platter,1,From the Sushi Bar,14:15.2,40.76065444,-73.98958275,40.75133575,-74.00376571,02:54.7,17:14.6,47:03.4,00:58:35,1.582816028,25:51.5
1200,1416511,105614,142394,bicycle,Terakawa Ramen,Japanese,Edamame,1,Appetizers,06:47.4,40.73937221,-73.98498058,40.7448369,-73.9919763,08:57.6,26:55.1,00:39:15,46:46.9,0.84699291,25:29.4
1201,1409272,49034,69993,bicycle,The Smile,American,Scrambled Eggs,1,Eggs,03:21.3,40.72641318,-73.99382114,40.7247072,-73.981175,19:28.1,22:24.3,30:14.3,36:42.1,1.085052695,09:24.0
1205,1295548,103526,113300,bicycle,Burger Joint,Burger,Cheeseburger,2,Menu,02:28.0,40.76407583,-73.97863253,40.765634,-73.971029,52:58.1,56:33.2,07:17.8,00:13:54,0.664902332,10:11.3
1207,1488560,46859,157596,bicycle,The Meatball Shop,Italian,Spicy Pork Smash,1,Smash,09:25.4,40.72154512,-73.98884243,40.748147,-73.973097,37:39.3,39:00.5,00:04:52,20:42.6,3.239714434,17:11.8
1212,1436449,44759,28765,bicycle,Pearl Oyster Bar,Seafood,Lobster Roll,1,Lunch Large Plates,03:01.3,40.7314379,-74.00212195,40.724455,-73.990891,15:22.1,23:46.4,39:05.6,46:31.1,1.225364114,15:49.8
1217,1413761,180821,138560,bicycle,sweetgreen,Salad,Salad,1,Make Your Own,07:20.5,40.72132319,-74.00973201,40.7236764,-74.0107235,21:30.1,00:39:38,00:10:28,16:39.9,0.274418518,24:19.8
1218,1275841,154137,93783,bicycle,Mari Vanna,Eastern European,Salo Plate,1,Cold Appetizers,11:08.5,40.73876871,-73.98864156,40.75907018,-73.99474406,14:29.1,20:38.4,41:27.4,57:23.6,2.312617735,22:05.5
1221,1365657,14869,151440,bicycle,Pepe Rosso To Go,Italian,Spaghetti Bolognese,1,Paste,06:48.8,40.727282,-74.001756,40.75224453,-74.00440544,31:16.7,32:45.6,02:18.1,23:36.1,2.781079343,22:46.9
1222,1374563,313288,158791,car,Benihana,Japanese,Filet Mignon,4,Hibachi Entrees,05:23.9,40.76316588,-73.97701978,40.788867,-73.954606,28:19.4,53:48.1,08:39.6,27:00.5,3.424344677,43:49.6
1232,1395585,331143,53095,bicycle,Waverly Diner,American,"Bagel w/Cream Cheese, Lox, Onion",1,Bagelry,06:28.7,40.73301222,-74.00005605,40.732486,-73.996585,18:51.1,44:07.6,50:57.8,54:15.9,0.298980147,28:34.6
