,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed
2895,1465844,276192,147300,bicycle,Delicatessen,American,Sunday: Spaghetti & Giorgio's Meatballs,1.0,Les Plats du Jour,08:52.6,40.72370271,-73.99634312,40.723729,-74.0040761,00:39:02.700000,00:44:37.600000,00:09:22.700000,00:13:57.200000,0.6533314114330292
2896,1476118,139482,163796,motorcycle,2nd Ave Deli,Deli,Beet Salad,1.0,Salads,04:46.3,40.74529931,-73.97913758,40.74311281,-73.98702613,00:03:52.200000,00:05:37.100000,00:16:27.100000,00:24:53.400000,0.7091287225333782
2903,1360534,114085,153795,bicycle,sweetgreen,Salad,Salad,1.0,Make Your Own,16:21.0,40.74507859,-73.98882151,40.7442036,-73.9853586,00:29:16.100000,00:39:30.100000,00:11:48.800000,00:20:42.700000,0.3081922969163731
2907,1422118,391639,117223,bicycle,sweetgreen,Salad,Spicy Sabzi (V),1.0,Signatures,04:55.8,40.74507859,-73.98882151,40.740524,-73.9856266,00:43:12.200000,00:57:05.200000,00:04:56.800000,00:12:42.400000,0.573265191148982
2909,1340078,373152,144919,bicycle,Blue Ribbon Sushi,Japanese,Spicy Lobster Roll,1.0,Maki (Special Rolls),18:11.8,40.72610966,-74.00249186,40.7358181,-74.0022386,00:50:58.900000,00:53:40.300000,00:24:00.100000,00:31:45.200000,1.0783220103268432
2915,1479307,47440,170756,bicycle,Bareburger,Burger,Barest Burger,1.0,Bareburgers,08:10.2,40.72847826,-73.99839184,40.7151704,-74.0116009,00:02:46.900000,00:08:16.600000,00:25:06.800000,00:37:26,1.8518683616298337
2918,1404678,118996,59348,walker,One Lucky Duck - Juice & Takeaway,Vegetarian,Berry Blue,1.0,Shakes,34:31.5,40.735725,-73.98712647,40.73263215,-73.99500346,00:20:44.600000,00:37:16.100000,00:30:13.800000,00:34:14.400000,0.7488012244443691
2922,1460473,142681,54954,bicycle,Osteria Morini,Italian,Cappelletti,1.0,Pasta,03:50.8,40.72195256,-73.997737,40.714557,-74.0085553,00:08:04,00:21:19.400000,00:31:56,00:40:11.800000,1.228816924414227
2925,1299043,105619,16610,car,2nd Ave Deli,Deli,Chicken Fingers,2.0,Appetizers,04:39.8,40.74529931,-73.97913758,40.776528,-73.9891005,00:32:17.800000,00:37:47,00:00:37.200000,00:40:50.500000,3.5685015805530114
2936,1383073,344586,119839,bicycle,Sushi of Gari 46,Sushi,Spicy Tuna Roll,1.0,Rolls,07:48.7,40.76065444,-73.98958275,40.76178206,-74.00094249,00:05:55.700000,00:24:33.100000,00:41:22,00:51:26.300000,0.9673339186988429
